<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TIME>,<TSEClose>,<MarketValue>,<ShareCount>,,<OPENMarketValue>,<HIGHMarketValue>,<LOWMarketValue>,<CloseMarketValue>,<TseCloseMarketValue>,TradedOfTotalMarket
ABAD,d,20050115,0,329,329,329,329,1440000,2592000000,1810,329,آباد,13831026,0,329,26320000000,80000000,,26320000000,26320000000,26320000000,26320000000,26320000000,1.8
ABAD,d,20050116,0,346,346,346,346,260120,491626800,257,329,آباد,13831027,0,346,27680000000,80000000,,27680000000,27680000000,27680000000,27680000000,27680000000,2.125
ABAD,d,20050117,0,363,363,363,363,1500000,2976000000,1227,346,آباد,13831028,0,363,29040000000,80000000,,29040000000,29040000000,29040000000,29040000000,29040000000,4
ABAD,d,20050126,0,381,381,381,381,269196,560735268,198,363,آباد,13831107,0,381,30480000000,80000000,,30480000000,30480000000,30480000000,30480000000,30480000000,4.004
ABAD,d,20050130,0,400,400,377,396,2673786,5781634832,1834,381,آباد,13831111,0,396,31680000000,80000000,,32000000000,32000000000,30160000000,31680000000,31680000000,4.037
ABAD,d,20050131,0,384,415,384,414,1162420,2629635600,335,396,آباد,13831112,0,414,33120000000,80000000,,30720000000,33200000000,30720000000,33120000000,33120000000,4.051
ABAD,d,20050201,0,435,435,416,424,1366584,3166883606,371,414,آباد,13831113,0,424,33920000000,80000000,,34800000000,34800000000,33280000000,33920000000,33920000000,4.069
ABAD,d,20050202,0,432,432,408,417,347088,791954104,227,424,آباد,13831114,0,417,33360000000,80000000,,34560000000,34560000000,32640000000,33360000000,33360000000,4.073
ABAD,d,20050205,0,419,430,407,420,1099893,2522605232,238,417,آباد,13831117,0,420,33600000000,80000000,,33520000000,34400000000,32560000000,33600000000,33600000000,4.087
ABAD,d,20050206,0,421,438,421,428,1148484,2685725061,272,420,آباد,13831118,0,428,34240000000,80000000,,33680000000,35040000000,33680000000,34240000000,34240000000,4.101
ABAD,d,20050207,0,421,421,410,420,296570,680700809,99,428,آباد,13831119,0,420,33600000000,80000000,,33680000000,33680000000,32800000000,33600000000,33600000000,4.105
ABAD,d,20050208,0,414,421,412,415,84067,190512884,59,420,آباد,13831120,0,415,33200000000,80000000,,33120000000,33680000000,32960000000,33200000000,33200000000,4.106
ABAD,d,20050209,0,421,435,421,432,174206,410973728,78,415,آباد,13831121,0,432,34560000000,80000000,,33680000000,34800000000,33680000000,34560000000,34560000000,4.108
ABAD,d,20050212,0,453,453,453,453,57924,143419824,34,432,آباد,13831124,0,453,36240000000,80000000,,36240000000,36240000000,36240000000,36240000000,36240000000,4.109
ABAD,d,20050213,0,476,476,476,476,42510,110483490,15,453,آباد,13831125,0,476,38080000000,80000000,,38080000000,38080000000,38080000000,38080000000,38080000000,4.109
ABAD,d,20050214,0,499,499,478,496,441861,1198460594,161,476,آباد,13831126,0,496,39680000000,80000000,,39920000000,39920000000,38240000000,39680000000,39680000000,4.115
ABAD,d,20050215,0,496,499,471,485,178747,474120249,92,496,آباد,13831127,0,485,38800000000,80000000,,39680000000,39920000000,37680000000,38800000000,38800000000,4.117
ABAD,d,20050216,0,461,471,461,471,23645,59585940,13,485,آباد,13831128,0,471,37680000000,80000000,,36880000000,37680000000,36880000000,37680000000,37680000000,4.117
ABAD,d,20050221,0,448,459,448,448,103932,254702992,70,471,آباد,13831203,0,448,35840000000,80000000,,35840000000,36720000000,35840000000,35840000000,35840000000,4.119
ABAD,d,20050222,0,426,439,426,429,134817,316520283,68,448,آباد,13831204,0,429,34320000000,80000000,,34080000000,35120000000,34080000000,34320000000,34320000000,4.12
ABAD,d,20050223,0,426,433,421,429,123877,290333176,60,429,آباد,13831205,0,429,34320000000,80000000,,34080000000,34640000000,33680000000,34320000000,34320000000,4.122
ABAD,d,20050226,0,450,450,431,443,30974,75678140,15,429,آباد,13831208,0,443,35440000000,80000000,,36000000000,36000000000,34480000000,35440000000,35440000000,4.122
ABAD,d,20050227,0,465,465,461,465,245132,622690352,86,443,آباد,13831209,0,465,37200000000,80000000,,37200000000,37200000000,36880000000,37200000000,37200000000,4.125
ABAD,d,20050228,0,488,488,465,480,302552,793687653,111,465,آباد,13831210,0,480,38400000000,80000000,,39040000000,39040000000,37200000000,38400000000,38400000000,4.129
ABAD,d,20050301,0,490,494,478,485,141090,374066135,55,480,آباد,13831211,0,485,38800000000,80000000,,39200000000,39520000000,38240000000,38800000000,38800000000,4.131
